source_website,search_url,detail_url,title,project_name,developer,posted_on,price,area,configurations,total_units,ownership,approved_by,rera_registered,location,bhk,property_type,transaction_type,possession_status,description,amenities,agent_or_builder,seller_type
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/desire-tree-in-varthur-bangalore-pjid-46124/,Desire Tree,Desire Tree,,,94.39 Lac - 1.39 Cr.,,"2, 3 BHK Apartment",,,,Yes,"Varthur, Bangalore",3,Apartment,New Project,Ready to Move,"Prithvi Desire Tree is a residential project in Varthur, Bangalore. It is set in an area of 2.72 Acres . Prithvi Desire Tree offers Apartment. Availab...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/purva-park-hill-in-kanakapura-road-bangalore-pjid-46010/,Purva Park Hill,Purva Park Hill,,,1.03 - 5.80 Cr.,,"2, 3, 4 BHK Apartment",,,,Yes,"Kanakapura Road, Bangalore",4,Apartment,New Project,Upcoming Projects,"Purva Parkhill at Off Kanakapura Rd, Mallasandra, BangalorePremium Residential Apartments off Kanakapura Road Corrodor. This is the ideal property for...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/shriram-pristine-estates-in-doddaballapur-road-bangalore-pjid-45961/,Shriram Pristine Estates,Shriram Pristine Estates,,,1.51 - 1.60 Cr.,,Residential Plot,,,,Yes,"Doddaballapur Road, Bangalore",,Plot,New Project,Ready to Move,"A home away from home where you can relax and rejuvenate. Shriram Pristine Estates, a plotted paradise on Doddaballapur main road is where your humble...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/shiram-solitaire-in-yelahanka-new-town-bangalore-pjid-45963/,Shiram Solitaire,Shiram Solitaire,,,75 - 90 Lac,,"2, 3 BHK Apartment",,,,Yes,"Yelahanka New Town, Bangalore",3,Apartment,New Project,Ready to Move,"Surrounded by lush greenery, panoramic views of the Veerasagara Lake, Shriram Solitaire is truly every Bangalorean’s dream home. Spread across 3...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/the-ragini-villas-in-hebbal-kempapura-bangalore-pjid-45658/,The Ragini Villas,The Ragini Villas,,,64.50 Lac - 2.10 Cr.,,"2, 3, 4 BHK Apartment",,,,,"Hebbal Kempapura, Bangalore",4,Apartment,New Project,Ready to Move,"The Ragini Villas is a residential development in Hebbal Kempapura, Bangalore, Karnataka. The Ragini Villas will provide skillfully designed 2/3/4 BHK Individual Houses / Villas with all necessities.",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/provident-east-lalbaugh-in-soukya-road-bangalore-pjid-45837/,Provident East Lalbaugh,Provident East Lalbaugh,,,84 Lac - 1.44 Cr.,,"2, 3 BHK Apartment",,,,Yes,"Soukya Road, Bangalore",3,Apartment,New Project,Ready to Move,Provident East Lalbagh is a residential project that displays the best of modern living. Nestled in the vibrant and ever-evolving WhiteField (Soukya R...,,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/akul-residency-in-gunjur-bangalore-pjid-45694/,Akul Residency,Akul Residency,,,47.63 Lac,,2 BHK Apartment,,,,,"Gunjur, Bangalore",2,Apartment,New Project,Ready to Move,"The project, Akul Residency is set amidst serene, pollution free and calm environment which promises to provide homes that set foundations of the live...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/oraiyan-mahashree-residency-in-jp-nagar-5th-phase-bangalore-pjid-45709/,Oraiyan Mahashree Residency,Oraiyan Mahashree Residency,,,78.59 Lac,,Residential Plot,,,,,"JP Nagar 5th Phase, Bangalore",,Plot,New Project,Ready to Move,"Oraiyan Mahashree Residency is a residential development in JP Nagar 5th Phase, Bangalore, Karnataka. Oraiyan Mahashree Residency will provide skillfully designed plots with all necessities.",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/redefine-new-meadows-in-bagalur-bangalore-pjid-45487/,Redefine New Meadows,Redefine New Meadows,,,26.40 Lac,,Residential Plot,,,,,"Bagalur, Bangalore",,Plot,New Project,Ready to Move,"Redefine New Meadows in Bagalur, Bangalore North is a ready-to-move housing society. This project is a perfect combination of comfort and style, speci...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/js-smart-city-in-kurubarahalli-bangalore-pjid-45636/,Js Smart City,Js Smart City,,,10.53 Lac,,Residential Plot,,,,,"Kurubarahalli, Bangalore",,Plot,New Project,Ready to Move,"Js Smart City is a residential plotting development in Kurubarahalli, Bangalore. Js Smart City presents Plots designed to reflect contemporary l...",,,
